Distribution,Sample Length,Gini Coefficient,Herfindahl-Hirschman Index,Entropy,Nakamoto Coefficient,Apokedro
Exponential,21,0.5305779111977527,0.0922132310209235,2.5480763447284716,5,0.08504464285714286
Bimodal,21,0.2438617120598961,0.05983651339874905,2.8929624823325577,7,0.078125
Log-normal,21,0.23987262239777032,0.056150495655862165,2.9548557655272423,8,0.023693830242510698
Chi-Square,21,0.4348800969963378,0.07794321556012407,2.7295299322468485,5,0.04722782258064516
Uniform,22,0.28928749643682655,0.0571061789886334,2.9509020631754783,7,0.033799588323353294
Normal,22,0.11102329676922357,0.04734608341070178,3.06864044020598,10,0.03626478040540541
Exponential,22,0.5385727291498364,0.09504616706503721,2.598359476971912,4,0.09930555555555555
Bimodal,22,0.2194460702780795,0.05282218278202971,3.006631938704789,8,0.06884282178217822
Log-normal,22,0.27249736783164363,0.057826930834974935,2.9656761470020347,7,0.07555379746835443
Chi-Square,22,0.4025751440055746,0.07307265005793308,2.8028329364260043,6,0.11875
Uniform,23,0.24006637848326323,0.051164381787685585,3.039641484267898,8,0.021969153515064562
Normal,23,0.0937923283631819,0.04474545300408396,3.1204773174524165,10,0.034826807228915665
Exponential,23,0.4876474815358636,0.08845411586658507,2.7234470647377886,4,0.13727678571428573
Bimodal,23,0.23299378062436252,0.053598282413323095,2.9980716378260803,8,0.10096153846153846
Log-normal,23,0.21137738695624086,0.05078813902482299,3.05891876489149,9,0.05932418699186992
Chi-Square,23,0.48625071777663975,0.08179236071687646,2.7374481254501726,5,0.07888104838709678
Uniform,24,0.28928411266118453,0.05242437510196032,3.0457222659759435,8,0.018149038461538463
Normal,24,0.09529386921388323,0.04297370631696115,3.162825101927356,11,0.055078125
Exponential,24,0.39271809210993286,0.06156137324265658,2.9172957369236356,7,0.023774557010785825
Bimodal,24,0.24302566015540084,0.04968886524962328,3.077366575575981,9,0.03406330958549223
Log-normal,24,0.23030586006405804,0.05050117650632483,3.086297381111497,9,0.09966216216216216
Chi-Square,24,0.5339728714976943,0.0899627120756149,2.6860848630423186,4,0.17708333333333334
Uniform,25,0.3295687504604713,0.053311569118406496,3.042333378089196,8,0.024295145295202953
Normal,25,0.14273540857686684,0.042554898371157224,3.187054664813954,10,0.03532400306748466
Exponential,25,0.5062435326301469,0.08561058304850527,2.7753577283814748,5,0.20454545454545456
Bimodal,25,0.22245185416175092,0.04874041346563625,3.0903512031537574,9,0.12980769230769232
Log-normal,25,0.2566601832532136,0.055222179470353065,3.0811433056840287,8,0.159375
Chi-Square,25,0.5619667579109057,0.10582498010968276,2.6306308478027183,4,0.22727272727272727
Uniform,26,0.29577930061545743,0.04876215896215427,3.1149693522286497,8,0.02654950323475046
Normal,26,0.09746545129468938,0.03963323288879125,3.2422150284364215,12,0.026983963815789474
Exponential,26,0.3660577405466606,0.054404274964596246,3.034197206969859,7,0.04742647058823529
Bimodal,26,0.2217060542314852,0.04466705353509674,3.174101635536608,10,0.055897887323943664
Log-normal,26,0.22018390534549667,0.0441536196015778,3.181588392223951,10,0.01621872648607976
Chi-Square,26,0.47323898519999025,0.06949636743281573,2.8906329944174556,6,0.06302584134615384
Uniform,27,0.21061339721219308,0.042389604672124805,3.221515292124866,10,0.02278377914951989
Normal,27,0.11588221543127795,0.03861462869480161,3.2736113218521434,12,0.013654922338967566
Exponential,27,0.5142050610005732,0.07209109936585438,2.843135072780464,5,0.07333984375
Bimodal,27,0.21954160137579698,0.04458840712617554,3.176442886784688,10,0.08639705882352941
Log-normal,27,0.234415218106664,0.043448802428731524,3.2063984508608265,10,0.01600473107569721
Chi-Square,27,0.5859650059208017,0.12139691049766257,2.6234295863947352,3,0.265625
Uniform,28,0.2759724569366164,0.04396428059100903,3.2078466408716957,9,0.01816109196768061
Normal,28,0.12677879000260336,0.03750268882294878,3.306374497290548,12,0.02770795246800731
Exponential,28,0.3837136333587556,0.05264118936437618,3.0916852785135798,8,0.03036263173302108
Bimodal,28,0.2069312971433197,0.04069972672138063,3.2607207836414536,10,0.040685096153846155
Log-normal,28,0.31827438466801883,0.047078590361507265,3.1718116830578156,9,0.02338635433715221
Chi-Square,28,0.5074942837352221,0.07350311890050698,2.8952276234151957,5,0.06489701704545454
Uniform,29,0.2995725452910059,0.04388972854342581,3.2227888773093465,9,0.035799050632911396
Normal,29,0.123215041514441,0.036206462079623566,3.341956876953301,13,0.027878852739726026
Exponential,29,0.5104730752628254,0.06885361008983636,2.9228371507055835,6,0.09263392857142858
Bimodal,29,0.24376892702705533,0.042821161152625686,3.229264482982924,10,0.1
Log-normal,29,0.26289180308297516,0.04238593796995871,3.253738054237622,10,0.047446646341463415
Chi-Square,29,0.43394630211516677,0.05537941501378773,3.045963316601739,7,0.02583467473357016
Uniform,30,0.2524549327850212,0.039818131802930895,3.2931182043924943,10,0.018327969738030712
Normal,30,0.11135347381621893,0.03463902049294393,3.38207468540691,13,0.017140768788343558
Exponential,30,0.39176693086503483,0.050333158585833586,3.1435717604727764,8,0.049305555555555554
Bimodal,30,0.2260142547094181,0.03905626027877836,3.3122428312566647,11,0.05675551470588235
Log-normal,30,0.2676834610951275,0.04131500854597889,3.287579262766281,10,0.032002135093167704
Chi-Square,30,0.5200615098035183,0.0660912650798588,2.9443497078802836,6,0.08211436170212766
Uniform,31,0.26999389180281713,0.03951349469766491,3.3090569376106163,11,0.034584306853582554
Normal,31,0.10393574453641177,0.03334452925243924,3.417415363745618,14,0.013206136171113934
Exponential,31,0.4257124337139108,0.05213364189849534,3.1320371299022285,8,0.0443075117370892
Bimodal,31,0.21748866884447107,0.03853577200044921,3.3209182219498548,11,0.05484271523178808
Log-normal,31,0.31028809926108375,0.04996468735456893,3.241253700881683,9,0.2222222222222222
Chi-Square,31,0.4961808498850828,0.0699262895035565,2.9966253964488185,6,0.15416666666666667
Uniform,32,0.26437117677299327,0.03796703117344759,3.353962420406399,11,0.017341916741877256
Normal,32,0.14277802136282236,0.03321632142602085,3.4345520742354037,13,0.013477960084973166
Exponential,32,0.5154013260414476,0.06429533992299424,3.0123567646565172,6,0.09730113636363637
Bimodal,32,0.23066427841637294,0.03666189903631955,3.3742921787775098,12,0.03303912213740458
Log-normal,32,0.2670589425166249,0.03864590796063392,3.349781453752635,11,0.024147100970017637
Chi-Square,32,0.46186087444234614,0.056078390317273935,3.1115454276204204,7,0.09037162162162163
Uniform,33,0.34862174764042886,0.04233882950198946,3.2997648775261252,9,0.02689779334038055
Normal,33,0.10561981063617205,0.03136714017929611,3.4788427575479712,15,0.0172119140625
Exponential,33,0.5290355416856642,0.06061170306687752,3.0231434271359525,6,0.07545230263157894
Bimodal,33,0.239078708162078,0.037157352592949014,3.3664810323480783,11,0.04765625
Log-normal,33,0.28344910606839213,0.037859735353996296,3.3690954898449785,11,0.016022764360313316
Chi-Square,33,0.5061861707726478,0.062117211222035416,3.057528048898461,6,0.2091346153846154
Uniform,34,0.2993344666032834,0.03744005812487205,3.374636057506257,11,0.013366633660042964
Normal,34,0.1048011870157648,0.0304259237080278,3.509153021751318,15,0.013461696194225721
Exponential,34,0.4063091446665299,0.045183551339612646,3.2566187519431633,8,0.016178765032798834
Bimodal,34,0.23279208563440007,0.03463961349752714,3.435489764666759,12,0.05673758865248227
Log-normal,34,0.2104647483343245,0.033488938710250556,3.4559005328061154,13,0.015132683367768594
Chi-Square,34,0.4027659474380511,0.04569120309433066,3.262835011067676,8,0.01884387112403101
Uniform,35,0.2768471040171141,0.03536591456126524,3.4351371540074918,11,0.011692151021400778
Normal,35,0.09872725383966545,0.02942637480887117,3.540423629317393,15,0.01649732268258427
Exponential,35,0.4341953417388889,0.04564432887640253,3.23334776032942,9,0.03403522559171598
Bimodal,35,0.20940633331244457,0.033604619179170035,3.4526891842463274,13,0.04027777777777778
Log-normal,35,0.26569794988822154,0.03717522592038655,3.4308114469996625,12,0.05986842105263158
